BSND
CDC14A
COL11A1
COL9A2
ESPN
GJB3
GPSM2
KCNJ10
KCNQ4
ROR1
TNFRSF25
USH2A
CDH23
PCDH15
COL2A1
DIABLO
DIAPH3
EDNRB
EPS8
GJB2
GJB6
KITLG
MSRB3
OTOGL
P2RX2
POLR1D
PTPRQ
SLC17A8
CLDN14
COL4A3
COL4A4
EDN3
KCNE1
MYO15A
OSBPL2
PAX3
TMPRSS3
TSPEAR
ACTG1
ALMS1
ATP6V1B1
CEACAM16
CLPP
DFNB59
ELMOD3
GIPC3
LOXHD1
LOXL3
MYH14
OTOF
PNPT1
S1PR2
SIX5
SYNE4
TMEM132E
USH1G
AIFM1
COL4A5
COL4A6
GRHL2
POU3F4
PRPS1
SMPX
TIMM8A
TJP2
TMC1
TNC
TPRN
WHRN
ADCY1
CD164
COL9A1
DFNA5
EYA1
EYA4
FGFR1
HGF
MET
MIR182
MIR183
MIR96
MYO6
PEX1
PSMC2
SLC26A4
SLC26A5
SNAI2
ATP2B2
CACNA1D
LARS2
MITF
MYH9
SOX10
TBX1
TMIE
TRIOBP
ADGRV1
BDP1
CCDC50
CISD2
CLRN1
DSPP
GRXCR1
HSD17B4
ILDR1
MARVELD2
MCM2
OPA1
SLC22A4
WFS1
CLIC5
COL11A2
DCDC2
DIAPH1
FAM65B
FOXI1
GRXCR2
HARS2
LHFPL5
PEX6
POLR1C
POU4F3
SERPINB6
TCOF1
GATA3
MYO3A
NLRP3
CIB2
COCH
CRYM
ESRRB
HOMER2
KARS
OTOA
RDX
SIX1
SLITRK6
STRC
TBC1D24
TECTA
CABP2
EPS8L2
FGF3
FGFR2
KCNQ1
LRTOMT
MYO7A
NARS2
OTOG
PDZD7
TECTB
TWNK
USH1C
